epoch,output-distance,correct-output,correct-param,param-mean-distance,param-max-distance
1,0.0722043610155582,0.9542,0.5,0.446251779794693,0.9785007834434508
2,0.0721751217991113,0.9589,0.6000000238418579,0.4067212641239166,0.9475679993629456
3,0.0756213876545429,0.9677,0.6000000238418579,0.3572763502597809,0.8623626828193665
4,0.078023989868164,0.9675,0.699999988079071,0.3125587999820709,0.7376919388771057
5,0.0766998427927494,0.969,0.699999988079071,0.2847820222377777,0.6509242653846741
6,0.0743092226803302,0.9721,0.699999988079071,0.2670064866542816,0.6061907410621643
7,0.0719767683535814,0.9754,0.800000011920929,0.254302829504013,0.5776000022888184
8,0.0698988914847374,0.9764,0.800000011920929,0.2445309162139892,0.5549980401992798
9,0.0680734206795692,0.9784,0.800000011920929,0.2366411983966827,0.5365167856216431
10,0.0664633411169052,0.9822,0.9000000357627869,0.2300515174865722,0.5209857225418091
11,0.0650312157332897,0.9853,0.9000000357627869,0.2244082987308502,0.5076459646224976
12,0.0637457876950502,0.9884,1.0,0.2194819897413253,0.4959860444068908
13,0.0625821838766336,0.9905,1.0,0.215115949511528,0.4856479167938232
14,0.0615206384629011,0.9911,1.0,0.2111985683441162,0.476373016834259
15,0.0605455387890338,0.9918,1.0,0.2076478749513626,0.4679692983627319
16,0.0596443322151899,0.9918,1.0,0.2044019252061844,0.4602906703948974
17,0.0588068983316421,0.9932,1.0,0.2014129012823104,0.4532237648963928
18,0.0580249277681112,0.9942,1.0,0.1986431181430816,0.4466790556907654
19,0.0572915698826313,0.995,1.0,0.1960624009370803,0.4405845403671264
20,0.0566011406391859,0.9959,1.0,0.1936462670564651,0.4348818063735962
21,0.0559488105803728,0.9978,1.0,0.1913745254278183,0.429522693157196
22,0.0553305413782596,0.9978,1.0,0.1892304271459579,0.4244670271873474
23,0.0547428273916244,0.9989,1.0,0.1871998608112335,0.419681191444397
24,0.0541827018499374,0.9989,1.0,0.1852708607912063,0.4151365160942077
25,0.0536475546628236,1.0,1.0,0.1834332197904586,0.4108085632324219
26,0.0531351531803607,1.0,1.0,0.1816781610250473,0.4066765308380127
27,0.0526435062527656,1.0,1.0,0.1799980401992797,0.4027220010757446
28,0.0521708759963512,1.0,1.0,0.1783861964941024,0.3989291191101074
29,0.051715731871128,1.0,1.0,0.1768368184566497,0.3952838778495788
30,0.0512767089396715,1.0,1.0,0.1753447502851486,0.3917741775512695
31,0.0508525916874408,1.0,1.0,0.173905462026596,0.3883891105651855
32,0.0504422953248024,1.0,1.0,0.1725149005651474,0.3851189613342285
33,0.0500448235809803,1.0,1.0,0.1711694300174713,0.3819552063941955
34,0.0496593181669712,1.0,1.0,0.1698658466339111,0.3788901567459106
35,0.049284963285923,1.0,1.0,0.1686011999845504,0.3759167194366455
36,0.0489210431605577,1.0,1.0,0.1673728674650192,0.3730287551879883
37,0.0485669063687324,1.0,1.0,0.1661784946918487,0.3702205419540405
38,0.0482219296514987,1.0,1.0,0.1650158613920211,0.3674869537353515
39,0.0478855989843606,1.0,1.0,0.1638830751180648,0.3648234009742737
40,0.0475573846161365,1.0,1.0,0.1627782434225082,0.3622254133224487
41,0.0472368518352508,1.0,1.0,0.1616998165845871,0.3596894145011902
42,0.0469235589295625,1.0,1.0,0.1606462299823761,0.3572115302085876
43,0.0466171214103698,1.0,1.0,0.1596161425113678,0.3547885417938232
44,0.0463171672433614,1.0,1.0,0.1586081832647323,0.3524175882339477
45,0.0460233715057373,1.0,1.0,0.1576212644577026,0.3500957489013672
46,0.0457354262888431,1.0,1.0,0.1566542685031891,0.3478204011917114
47,0.0454530447125434,1.0,1.0,0.1557061672210693,0.3455892205238342
48,0.0451759755522012,1.0,1.0,0.1547760963439941,0.3434000611305237
49,0.0449039379328489,1.0,1.0,0.1538631170988083,0.3412507176399231
50,0.0446367107272148,1.0,1.0,0.1529664099216461,0.339139461517334
51,0.0443740994960069,1.0,1.0,0.1520852893590927,0.3370643854141235
52,0.0441158843964338,1.0,1.0,0.1512189954519271,0.3350239992141723
53,0.0438618746459484,1.0,1.0,0.1503669321537017,0.333016574382782
54,0.0436119004726409,1.0,1.0,0.1495284289121627,0.3310406804084778
55,0.0433657850325107,1.0,1.0,0.1487029045820236,0.3290951251983642
56,0.0431233839184045,1.0,1.0,0.1478898823261261,0.3271785378456116
57,0.0428845565795898,1.0,1.0,0.147088810801506,0.3252897262573242
58,0.0426491442978382,1.0,1.0,0.1462992280721664,0.3234275579452514
59,0.0424170245826244,1.0,1.0,0.1455206722021103,0.3215910792350769
60,0.0421880824804306,1.0,1.0,0.1447527408599853,0.3197791576385498
61,0.0419621961742639,1.0,1.0,0.1439950317144394,0.3179908990859985
62,0.0417392637610435,1.0,1.0,0.1432472020387649,0.3162254691123962
63,0.0415191678255796,1.0,1.0,0.1425088346004486,0.3144820928573608
64,0.041301815021038,1.0,1.0,0.1417796462774276,0.3127599358558655
65,0.0410871142983436,1.0,1.0,0.1410592794418335,0.3110582828521728
66,0.0408749912381172,1.0,1.0,0.1403474658727646,0.3093763589859009
67,0.0406653538167476,1.0,1.0,0.1396439522504806,0.3077136874198913
68,0.0404581124961376,1.0,1.0,0.1389484256505966,0.3060693740844726
69,0.0402531910300254,1.0,1.0,0.1382606029510498,0.3044430017471313
70,0.0400505266040563,1.0,1.0,0.1375803053379058,0.3028340339660644
71,0.0398500604897737,1.0,1.0,0.1369072645902633,0.3012418150901794
72,0.0396517242163419,1.0,1.0,0.1362413018941879,0.2996659874916076
73,0.0394554463326931,1.0,1.0,0.1355821341276168,0.2981059551239013
74,0.0392611856698989,1.0,1.0,0.1349297016859054,0.2965613603591919
75,0.0390688627839088,1.0,1.0,0.1342836618423462,0.2950316071510315
76,0.038878442466259,1.0,1.0,0.1336439400911331,0.2935163974761963
77,0.038689866861701,1.0,1.0,0.1330103278160095,0.2920152544975281
78,0.0385030859410762,1.0,1.0,0.1323826760053634,0.2905279397964477
79,0.038318079188466,1.0,1.0,0.131760835647583,0.2890540957450866
80,0.0381347522675991,1.0,1.0,0.1311445981264114,0.2875931859016418
81,0.0379531062334775,1.0,1.0,0.1305338889360427,0.2861450314521789
