epoch,output-distance,correct-output,correct-param,param-mean-distance,param-max-distance
1,0.0828169771432876,0.9688,0.7400000095367432,0.3568051159381866,0.8991547226905823
2,0.0915921331882476,0.9688,0.8199999928474426,0.2619871497154236,0.8580020666122437
3,0.0885524913787841,0.9688,0.9199999570846558,0.1921895742416381,0.7592259645462036
4,0.0841724121809005,0.9688,0.9199999570846558,0.1478495746850967,0.6566553711891174
5,0.0799294321537017,0.9691,0.959999978542328,0.1190886124968528,0.5927421450614929
6,0.0763388098716735,0.97,0.959999978542328,0.1016333103179931,0.5434244275093079
7,0.073696286702156,0.9708,0.9799999594688416,0.0901058763265609,0.5049062371253967
8,0.0716375263690948,0.9713,1.0,0.0818315893411636,0.4741175770759582
9,0.0699606775045394,0.9724,1.0,0.0755654126405716,0.4489178359508514
10,0.0685518838882446,0.9736,1.0,0.070630595088005,0.4278507232666015
11,0.0673406208395958,0.9748,1.0,0.0666250959038734,0.4099141657352447
12,0.0662804602861404,0.9764,1.0,0.0632949322462081,0.3944039344787597
13,0.0653393033266067,0.9778,1.0,0.0604717619717121,0.3808131217956543
14,0.064493912577629,0.979,1.0,0.0580395497381687,0.3687685132026672
15,0.0637272171974182,0.9805,1.0,0.0559156984090805,0.357989490032196
16,0.0630261503219604,0.9815,1.0,0.054039716720581,0.3482607901096344
17,0.0623806132555007,0.9828,1.0,0.0523663125932216,0.3394147753715515
18,0.061782556939125,0.984,1.0,0.0508608035743236,0.331318587064743
19,0.0612255502104759,0.9853,1.0,0.0494962148368358,0.323865532875061
20,0.0607043530225753,0.9873,1.0,0.0482512004673481,0.3169691264629364
21,0.0602145464897155,0.9893,1.0,0.0471086204051971,0.3105581402778625
22,0.059752619934082,0.9905,1.0,0.0460545904934406,0.3045734763145447
23,0.059315465927124,0.9916,1.0,0.0450776889920234,0.2989656329154968
24,0.0589006142616271,0.9926,1.0,0.0441684313118457,0.2936928570270538
25,0.0585057524323463,0.994,1.0,0.0433189086616039,0.2887195646762848
26,0.05812900390625,0.9951,1.0,0.0425224006175994,0.2840151786804199
27,0.0577687799096107,0.9959,1.0,0.041773248463869,0.2795534133911133
28,0.0574235309839248,0.9964,1.0,0.0410665497183799,0.2753116190433502
29,0.0570920226454734,0.9968,1.0,0.0403981134295463,0.2712697088718414
30,0.0567732889413833,0.9975,1.0,0.0397643335163593,0.2674103081226349
31,0.0564660960316658,0.9979,1.0,0.0391619801521301,0.2637179791927337
32,0.0561698174238204,0.9982,1.0,0.0385883264243602,0.2601792216300964
33,0.055883518242836,0.9985,1.0,0.0380408950150013,0.2567818760871887
34,0.0556065045118331,0.9987,1.0,0.0375175327062606,0.2535151541233063
35,0.0553381630897521,0.9988,1.0,0.0370163135230541,0.2503694593906402
36,0.0550779667019844,0.9992,1.0,0.0365355350077152,0.247336134314537
37,0.0548253401517868,0.9996,1.0,0.0360736548900604,0.2444072514772415
38,0.0545798444032669,0.9999,1.0,0.0356293134391307,0.2415756434202194
39,0.0543410779237747,1.0,1.0,0.0352012775838375,0.238835260272026
