epoch,output-distance,crispness,output-avg,class-balance
1,0.4828637382984161,0.24346919357776642,0.5230702949523925,tensor(0.8690)
2,0.45463182621002196,0.226527601480484,0.5611960875511169,tensor(0.8690)
3,0.43003250789642333,0.2054784744977951,0.5944128938674926,tensor(0.8690)
4,0.4071316997051239,0.18285498023033142,0.625341149520874,tensor(0.8690)
5,0.3850529356956482,0.16012749075889587,0.6551823243141174,tensor(0.8690)
6,0.3636588927268982,0.13870544731616974,0.6841165246009827,tensor(0.8690)
7,0.34299245481491086,0.12065831571817398,0.7120528813362121,tensor(0.8690)
8,0.32335843410491943,0.10573286563158035,0.7385206857681275,tensor(0.8690)
9,0.30538433909416196,0.09384313970804214,0.7625183106422424,tensor(0.8690)
10,0.2895066185951233,0.08486835658550262,0.7830088324546814,tensor(0.8690)
11,0.27561165800094606,0.0780649483203888,0.7993269002914428,tensor(0.8690)
12,0.26238861818313597,0.073331318795681,0.812851567363739,tensor(0.8690)
13,0.2483294691324234,0.0711185485124588,0.825293816947937,tensor(0.8690)
14,0.23350479555130005,0.07131906598806381,0.8366582617759705,tensor(0.8690)
15,0.22079777595996858,0.07270534336566925,0.845028602218628,tensor(0.8690)
16,0.2115304652094841,0.07375240325927734,0.849905024433136,tensor(0.8690)
17,0.20426916621923447,0.07391093671321869,0.8527071617126465,tensor(0.8690)
18,0.19699948029518127,0.07273483276367188,0.8546208204269409,tensor(0.8690)
