epoch,correct-output,logic-correct-output,unsatisfied,examples,crispness
1,0.7511000037193298,0.4306999742984772,17984.330078125,4242.0791015625,85141.25
2,0.823699951171875,0.6053000092506409,15144.525390625,3648.162109375,80375.5078125
3,0.8489999771118164,0.7091999650001526,12585.822265625,3561.925537109375,73012.3046875
4,0.8555999994277954,0.7520999908447266,10511.123046875,3684.864990234375,65506.80859375
5,0.8600999712944031,0.7773999571800232,8925.056640625,3926.128662109375,58781.578125
6,0.863599956035614,0.8007999658584595,7756.4228515625,4199.2626953125,52977.23828125
7,0.8669999837875366,0.8119999766349792,6753.06201171875,4477.30078125,48133.3203125
8,0.8677999973297119,0.8212999701499939,5911.17724609375,4723.3056640625,44058.34375
9,0.8700000047683716,0.828499972820282,5278.8154296875,4941.24755859375,40644.69140625
10,0.8720999956130981,0.8331999778747559,4803.44921875,5165.2578125,37777.125
