epoch,correct-output,test-loss,unsatisfied,examples,crispness,crisp-widths,preconditions,consequent,total
1,0.8179999589920044,0.01731790043413639,28123.98046875,7284.5234375,85618.09375,0.26846858859062195,31772.74609375,212224.890625,5520000.0
2,0.8863999843597412,0.017273690551519394,20225.107421875,4749.14208984375,81362.828125,0.2686948776245117,23180.435546875,211191.65625,5520000.0
3,0.9296000003814697,0.017242198809981346,15379.8935546875,3229.7177734375,76195.09375,0.2689457833766937,17565.494140625,210179.625,5520000.0
4,0.9380999803543091,0.017231294885277748,11820.783203125,2492.58251953125,70475.3828125,0.2690466344356537,13633.2900390625,209965.703125,5520000.0
5,0.9457999467849731,0.017223097383975983,9108.759765625,1997.144775390625,64382.5390625,0.2691671848297119,10608.8671875,209889.34375,5520000.0
6,0.949999988079071,0.017216619104146957,7152.3486328125,1625.9957275390625,58253.8515625,0.2692606449127197,8407.3134765625,209807.984375,5520000.0
7,0.9537999629974365,0.017212331295013428,5745.173828125,1359.7296142578125,52341.53125,0.2692655622959137,6814.42578125,209756.875,5520000.0
8,0.9562999606132507,0.017208805307745934,4671.46484375,1165.2470703125,46885.04296875,0.26927295327186584,5603.2529296875,209715.828125,5520000.0
9,0.9587000012397766,0.01720545068383217,3821.333251953125,1011.635009765625,41989.40234375,0.26925820112228394,4648.45361328125,209655.8125,5520000.0
10,0.961899995803833,0.017203442752361298,3176.1171875,888.38525390625,37630.98046875,0.269275426864624,3917.86181640625,209591.859375,5520000.0
11,0.9625999927520752,0.017201805487275124,2663.983154296875,796.54248046875,33718.5,0.2692926228046417,3338.705078125,209552.890625,5520000.0
12,0.9645999670028687,0.017199821770191193,2243.36181640625,711.8736572265625,30299.275390625,0.2692950963973999,2854.306640625,209520.609375,5520000.0
13,0.9663999676704407,0.01719805784523487,1897.9208984375,643.5133056640625,27234.3203125,0.269275426864624,2457.26171875,209502.96875,5520000.0
14,0.9666999578475952,0.017197534441947937,1616.5389404296875,584.6031494140625,24533.1640625,0.2692778706550598,2127.038330078125,209497.71875,5520000.0
15,0.9679999947547913,0.017195219174027443,1370.018310546875,516.0977783203125,22146.431640625,0.26928770542144775,1825.51611328125,209480.8125,5520000.0
16,0.9684999585151672,0.017194487154483795,1179.145751953125,469.1881103515625,20016.056640625,0.26929017901420593,1598.78173828125,209437.21875,5520000.0
17,0.9693999886512756,0.017194386571645737,1017.191650390625,422.3590087890625,18071.64453125,0.26930493116378784,1398.090576171875,209394.296875,5520000.0
18,0.9697999954223633,0.017193855717778206,873.2307739257812,374.4314270019531,16362.2587890625,0.26930001378059387,1212.3985595703125,209366.75,5520000.0
19,0.9702000021934509,0.017193639650940895,761.9344482421875,341.79766845703125,14843.068359375,0.26930248737335205,1072.94677734375,209365.03125,5520000.0
20,0.9711999893188477,0.017192555591464043,655.135009765625,316.2885437011719,13509.4814453125,0.2692950963973999,944.7078247070312,209368.953125,5520000.0
21,0.9716999530792236,0.017191274091601372,576.831787109375,303.7866516113281,12316.357421875,0.2692950963973999,857.095458984375,209363.0,5520000.0
22,0.972000002861023,0.017189616337418556,506.33135986328125,282.873046875,11240.9892578125,0.26928526163101196,768.4302368164062,209363.015625,5520000.0
23,0.9726999998092651,0.01719019189476967,449.3380126953125,258.5708923339844,10288.5146484375,0.26929017901420593,689.4509887695312,209330.59375,5520000.0
24,0.9726999998092651,0.017189286649227142,392.18017578125,226.57444763183594,9431.5068359375,0.26928526163101196,601.9498901367188,209348.5,5520000.0
25,0.9733999967575073,0.017188139259815216,346.59051513671875,212.77598571777344,8647.185546875,0.2692827880382538,544.1354370117188,209360.578125,5520000.0
26,0.9724999666213989,0.0171895083039999,324.1107482910156,207.8864288330078,7932.23876953125,0.26928770542144775,517.2691040039062,209356.84375,5520000.0
27,0.9732999801635742,0.017188720405101776,287.61456298828125,201.8331756591797,7306.75830078125,0.26928770542144775,476.636962890625,209347.53125,5520000.0
28,0.9733999967575073,0.017188234254717827,257.6012268066406,192.21803283691406,6725.53125,0.26929017901420593,438.1642150878906,209366.265625,5520000.0
29,0.9745000004768372,0.017189592123031616,244.05467224121094,180.47055053710938,6186.30126953125,0.26928770542144775,413.93359375,209296.84375,5520000.0
30,0.9738999605178833,0.017189279198646545,219.984375,185.0717315673828,5700.98681640625,0.26928770542144775,395.0831604003906,209308.359375,5520000.0
31,0.9728999733924866,0.017188621684908867,205.8345489501953,180.3964080810547,5273.48193359375,0.26928770542144775,376.43951416015625,209335.25,5520000.0
32,0.9724999666213989,0.01718987710773945,190.7437744140625,166.48751831054688,4888.43408203125,0.26928526163101196,348.4956359863281,209296.28125,5520000.0
33,0.9739999771118164,0.017189746722579002,180.37872314453125,164.34193420410156,4520.876953125,0.26928770542144775,336.85107421875,209276.65625,5520000.0
34,0.9735999703407288,0.01719033345580101,168.1552734375,153.78128051757812,4183.69775390625,0.2692926228046417,314.0981140136719,209247.296875,5520000.0
35,0.9747999906539917,0.01718711107969284,150.1011199951172,144.76087951660156,3868.763916015625,0.2692950963973999,288.2874450683594,209327.96875,5520000.0
36,0.9741999506950378,0.01718946360051632,138.85855102539062,142.50613403320312,3580.6474609375,0.26930001378059387,275.11810302734375,209297.4375,5520000.0
37,0.974299967288971,0.017188865691423416,134.4149932861328,136.41390991210938,3318.15576171875,0.26930248737335205,264.9649658203125,209277.9375,5520000.0
38,0.9727999567985535,0.017189668491482735,127.34002685546875,134.39634704589844,3078.704833984375,0.26930001378059387,255.8116455078125,209305.625,5520000.0
39,0.9759999513626099,0.01718847081065178,118.16596221923828,120.37240600585938,2857.905517578125,0.26930001378059387,233.14321899414062,209256.875,5520000.0
40,0.974299967288971,0.017190217971801758,114.32695007324219,118.81876373291016,2657.9248046875,0.26930248737335205,228.24813842773438,209207.9375,5520000.0
41,0.9749999642372131,0.01718886010348797,108.59307861328125,122.07774353027344,2469.841796875,0.26930248737335205,225.8358612060547,209275.0,5520000.0
42,0.9761999845504761,0.017187854275107384,107.4424057006836,120.9908676147461,2292.337646484375,0.26930001378059387,223.8138885498047,209233.875,5520000.0
43,0.9747999906539917,0.017189282923936844,102.57964324951172,108.06642150878906,2134.33056640625,0.26930001378059387,206.16555786132812,209266.6875,5520000.0
44,0.9758999943733215,0.01718815229833126,101.10358428955078,114.45532989501953,1990.69775390625,0.26930001378059387,211.50143432617188,209268.671875,5520000.0
45,0.975600004196167,0.017188310623168945,95.6778793334961,120.2367172241211,1858.2552490234375,0.26930001378059387,211.89942932128906,209225.953125,5520000.0
46,0.9751999974250793,0.01718793623149395,92.98295593261719,123.09252166748047,1737.18310546875,0.26930248737335205,212.03167724609375,209253.078125,5520000.0
47,0.9756999611854553,0.01718869060277939,91.12345886230469,121.8260726928711,1622.3070068359375,0.26930248737335205,209.0370635986328,209207.25,5520000.0
48,0.9763999581336975,0.017189012840390205,89.15127563476562,116.4197769165039,1513.86376953125,0.26930493116378784,201.81524658203125,209203.5625,5520000.0
49,0.975600004196167,0.017187954857945442,85.28985595703125,111.4310302734375,1410.74609375,0.26930493116378784,192.90902709960938,209233.0,5520000.0
50,0.9756999611854553,0.017186753451824188,82.7275390625,106.56536865234375,1319.3433837890625,0.26930493116378784,185.96742248535156,209247.125,5520000.0
51,0.9751999974250793,0.017187824472784996,75.77009582519531,106.48291778564453,1234.4483642578125,0.26930493116378784,179.1061553955078,209286.328125,5520000.0
52,0.976099967956543,0.017187414690852165,77.33448791503906,98.92837524414062,1153.600830078125,0.26930493116378784,172.9587860107422,209251.21875,5520000.0
53,0.977400004863739,0.017186405137181282,77.04305267333984,99.41130828857422,1080.5557861328125,0.26930493116378784,173.2498779296875,209222.34375,5520000.0
54,0.9757999777793884,0.017188064754009247,78.1383285522461,106.69512176513672,1014.8057250976562,0.26930493116378784,181.6698455810547,209223.375,5520000.0
55,0.9775999784469604,0.017186153680086136,68.19181823730469,91.31607818603516,953.54541015625,0.26930493116378784,156.7986602783203,209219.546875,5520000.0
56,0.9752999544143677,0.017185933887958527,74.03909301757812,108.85786437988281,899.0875854492188,0.26930493116378784,180.22872924804688,209283.203125,5520000.0
57,0.9772999882698059,0.01718692108988762,65.98049926757812,85.4895248413086,845.6830444335938,0.26930248737335205,149.02003479003906,209231.546875,5520000.0
58,0.9771999716758728,0.017185671254992485,65.31404876708984,85.72955322265625,793.9668579101562,0.26930493116378784,148.29434204101562,209242.140625,5520000.0
59,0.9772999882698059,0.017186304554343224,65.84490203857422,86.18500518798828,745.95263671875,0.26930493116378784,149.56150817871094,209212.90625,5520000.0
60,0.9763000011444092,0.017186103388667107,63.21445846557617,84.54290008544922,700.5787963867188,0.26930493116378784,145.41827392578125,209229.203125,5520000.0
61,0.9776999950408936,0.01718616671860218,67.38606262207031,89.54904174804688,660.716552734375,0.26930493116378784,154.40769958496094,209207.59375,5520000.0
62,0.9750999808311462,0.01718701608479023,59.999603271484375,73.7186279296875,621.6495971679688,0.26930493116378784,130.75706481933594,209322.328125,5520000.0
