epoch,correct-output,test-loss,unsatisfied,examples,crispness,crisp-widths,preconditions,consequent,total
1,0.8192999958992004,0.01730804145336151,28601.798828125,6352.65966796875,85049.890625,0.2689162790775299,31883.705078125,212195.59375,5520000.0
2,0.8398999571800232,0.017271675169467926,20842.865234375,4333.29150390625,81284.59375,0.26909583806991577,23697.171875,211331.90625,5520000.0
3,0.8902999758720398,0.01725536212325096,15900.455078125,3360.0205078125,76506.5703125,0.26927050948143005,18351.005859375,210847.671875,5520000.0
4,0.9386000037193298,0.017230909317731857,12765.0595703125,2554.877197265625,71074.3046875,0.26939594745635986,14512.517578125,210088.578125,5520000.0
5,0.945099949836731,0.01722259260714054,9978.177734375,2035.294677734375,65188.59765625,0.2695140242576599,11457.6044921875,209871.140625,5520000.0
6,0.9497999548912048,0.017216932028532028,7935.9814453125,1670.353271484375,59039.4609375,0.2695927321910858,9192.53125,209781.875,5520000.0
7,0.9544999599456787,0.017212344333529472,6446.9287109375,1407.71484375,53141.69140625,0.2696394622325897,7535.32373046875,209713.390625,5520000.0
8,0.9575999975204468,0.0172086451202631,5307.81884765625,1192.28271484375,47578.59375,0.2696739137172699,6254.935546875,209636.234375,5520000.0
9,0.9603999853134155,0.01720563694834709,4361.2587890625,1012.2562255859375,42577.01953125,0.26968374848365784,5180.7314453125,209576.40625,5520000.0
10,0.9624999761581421,0.01720329374074936,3603.983642578125,879.4266357421875,38079.2265625,0.2697034180164337,4323.3642578125,209563.6875,5520000.0
11,0.964199960231781,0.017201164737343788,3027.269287109375,742.1981811523438,34099.1796875,0.26971328258514404,3643.193359375,209520.390625,5520000.0
12,0.9659000039100647,0.017198577523231506,2556.479248046875,641.0481567382812,30533.34375,0.269718199968338,3093.837890625,209501.140625,5520000.0
13,0.9684000015258789,0.01719602942466736,2168.773681640625,565.740966796875,27357.44140625,0.26972803473472595,2648.834716796875,209477.0625,5520000.0
14,0.9691999554634094,0.017194772139191628,1876.9967041015625,526.4112548828125,24524.8671875,0.26973047852516174,2327.158447265625,209456.15625,5520000.0
15,0.97079998254776,0.017193421721458435,1614.6700439453125,467.95404052734375,22003.462890625,0.2697206437587738,2019.84521484375,209435.328125,5520000.0
16,0.9711999893188477,0.017192428931593895,1371.770263671875,414.4423828125,19757.267578125,0.2697329521179199,1732.153076171875,209446.296875,5520000.0
17,0.9711999893188477,0.01719125732779503,1186.957763671875,373.40460205078125,17771.587890625,0.26974278688430786,1514.837158203125,209419.828125,5520000.0
18,0.9717999696731567,0.01719079539179802,1038.5408935546875,337.5437927246094,16018.865234375,0.26975753903388977,1335.013427734375,209407.5,5520000.0
19,0.9717999696731567,0.017190927639603615,918.3864135742188,309.4994201660156,14456.380859375,0.26975753903388977,1194.135986328125,209375.875,5520000.0
20,0.972000002861023,0.01719098724424839,813.790283203125,284.11932373046875,13065.0859375,0.2697698473930359,1069.2978515625,209347.46875,5520000.0
21,0.9721999764442444,0.017190827056765556,709.6987915039062,258.3324890136719,11854.404296875,0.2697722911834717,943.2905883789062,209337.734375,5520000.0
22,0.9717999696731567,0.017190497368574142,627.9982299804688,234.17115783691406,10761.5673828125,0.2697722911834717,841.0009765625,209335.90625,5520000.0
23,0.9729999899864197,0.017190711572766304,566.410400390625,214.41786193847656,9792.67578125,0.26977723836898804,762.1972045898438,209291.046875,5520000.0
24,0.9731999635696411,0.01718970574438572,506.05120849609375,197.58096313476562,8908.9208984375,0.26977723836898804,687.6017456054688,209297.96875,5520000.0
25,0.9727999567985535,0.017189815640449524,455.6849670410156,181.59344482421875,8107.4140625,0.2697722911834717,621.5338745117188,209316.890625,5520000.0
26,0.9720999598503113,0.01718907803297043,411.5536804199219,182.74119567871094,7390.51220703125,0.2697722911834717,579.1015625,209357.109375,5520000.0
27,0.973099946975708,0.017189515754580498,379.62310791015625,177.27871704101562,6742.18359375,0.2697698473930359,543.5956420898438,209324.234375,5520000.0
28,0.9727999567985535,0.01718938536942005,342.2619934082031,155.161376953125,6155.904296875,0.2697722911834717,485.272705078125,209320.40625,5520000.0
29,0.9732999801635742,0.017190182581543922,299.1235656738281,134.8146514892578,5627.7822265625,0.2697698473930359,423.82415771484375,209298.21875,5520000.0
30,0.9733999967575073,0.017190270125865936,282.6086120605469,135.1624298095703,5169.2158203125,0.2697722911834717,407.9334716796875,209296.9375,5520000.0
